lectin_id,pdb,protein_name,uniprot,origin,species,species_id,fold,class,family,resolution,ligand,monosac,iupac,glycoct,glytoucan_id,timestamp_download
482,1BZW,Galactose-binding lectin (Agglutinin) (PNA),P02872,Plant lectins,Arachis hypogaea,139,b-sandwich / ConA-like,L-type (legume lectin),PNA,2.7, C-lactose,"D-Galp, D-Glcp",Gal(b1-4)Glc,"RES
1b:x-dglc-HEX-1:5
2b:b-dgal-HEX-1:5
LIN
1:1o(4+1)2d",G74621DY,2026-01-06T19:41:38Z
483,1C1F,Congerin-1 (Beta-galactoside-binding lectin 1) (Congerin I),P26788,Animal lectins,Conger myriaster,141,b-sandwich / ConA-like,galectin-like,congerin,1.6,,,,,,2026-01-06T19:41:38Z
484,1C1L,Congerin-1 (Beta-galactoside-binding lectin 1) (Congerin I),P26788,Animal lectins,Conger myriaster,141,b-sandwich / ConA-like,galectin-like,congerin,1.5,bGal14Glc,"D-Galp, D-Glcp",Gal(b1-4)Glc,"RES
1b:x-dglc-HEX-1:5
2b:b-dgal-HEX-1:5
LIN
1:1o(4+1)2d",G74621DY,2026-01-06T19:41:38Z
485,1C39,Cation-dependent mannose-6-phosphate receptor (CD Man-6-P receptor) (CD-MPR) (46 kDa mannose 6-phosphate receptor) (MPR 46),P11456,Animal lectins,Bos taurus,144,b-barrel,P-type lectin,CD-MPR,1.85,aMan(O6P)13aMan13Man,D-Manp,Man(a1-3)Man(a1-3)Man,"RES
1b:x-dman-HEX-1:5
2b:a-dman-HEX-1:5
3b:a-dman-HEX-1:5
LIN
1:1o(3+1)2d
2:2o(3+1)3d",G57306WK,2026-01-06T19:41:38Z
486,1C3K,Lectin 1,Q9ZQY5,Plant lectins,Helianthus tuberosus,147,b-prism I,Jacalin-like,heltuba,2.0,,,,,,2026-01-06T19:41:38Z
487,1C3M,Lectin 1,Q9ZQY5,Plant lectins,Helianthus tuberosus,147,b-prism I,Jacalin-like,heltuba,2.0,aMan13Man,D-Manp,Man(a1-3)Man,"RES
1b:x-dman-HEX-1:5
2b:a-dman-HEX-1:5
LIN
1:1o(3+1)2d",G07490EK,2026-01-06T19:41:38Z
488,1C3N,Lectin 1,Q9ZQY5,Plant lectins,Helianthus tuberosus,147,b-prism I,Jacalin-like,heltuba,2.45,aMan12Man,D-Manp,Man(a1-2)Man,"RES
1b:x-dman-HEX-1:5
2b:a-dman-HEX-1:5
LIN
1:1o(2+1)2d",G29313LW,2026-01-06T19:41:38Z
489,1C57,Concanavalin-A (Con A),P02866,Plant lectins,Canavalia ensiformis,113,b-sandwich / ConA-like,L-type (legume lectin),ConA and related,2.4,,,,,,2026-01-06T19:41:38Z
490,1CE7,Beta-galactoside-specific lectin 4 (Beta-galactoside-specific lectin IV) [Cleaved into: Beta-galactoside-specific lectin 4 chain A (EC 3.2.2.22) (Beta-galactoside-specific lectin IV chain A) (ML-4 A) (ML-IV A) (rRNA N-glycosidase); Beta-galactoside-specific lectin 4 chain B (Beta-galactoside-specific lectin IV chain B) (ML-4B) (ML-IV B)],Q6ITZ3,Plant lectins,Viscum album,149,b-trefoil,Ricin-like,VAA,2.7,,,,,,2026-01-06T19:41:38Z
491,1CES,Concanavalin-A (Con A),P02866,Plant lectins,Canavalia ensiformis,113,b-sandwich / ConA-like,L-type (legume lectin),ConA and related,2.7,,,,,,2026-01-06T19:41:38Z
493,1CHP,Cholera enterotoxin subunit B (Cholera enterotoxin B chain) (Cholera enterotoxin gamma chain) (Choleragenoid),P01556,Bacterial lectins,Vibrio cholerae,151,a/b OB-fold,Cholera toxin like AB5,"LTB, CTB, CFXB",2.0,,,,,,2026-01-06T19:41:38Z
494,1CHQ,Cholera enterotoxin subunit B (Cholera enterotoxin B chain) (Cholera enterotoxin gamma chain) (Choleragenoid),P01556,Bacterial lectins,Vibrio cholerae,151,a/b OB-fold,Cholera toxin like AB5,"LTB, CTB, CFXB",2.1,,,,,,2026-01-06T19:41:38Z
495,1CIW,Galactose-binding lectin (Agglutinin) (PNA),P02872,Plant lectins,Arachis hypogaea,139,b-sandwich / ConA-like,L-type (legume lectin),PNA,2.7,bGal14GlcNAc,"D-Galp, D-GlcpNAc",Gal(b1-4)GlcNAc,"RES
1b:x-dglc-HEX-1:5
2s:n-acetyl
3b:b-dgal-HEX-1:5
LIN
1:1d(2+1)2n
2:1o(4+1)3d",G51331BY,2026-01-06T19:41:38Z
496,1CJP,Concanavalin-A (Con A),P02866,Plant lectins,Canavalia ensiformis,113,b-sandwich / ConA-like,L-type (legume lectin),ConA and related,2.78,aDGlc derivative,D-Glcp,Glc,"RES
1b:x-dglc-HEX-1:5",G15021LG,2026-01-06T19:41:38Z
497,1CLW,"Tail spike protein (TSP) (Endo-1,3-alpha-L-rhamnosidase) (EC 3.2.1.-) (Endorhamnosidase) (Gene product 9) (gp9)",P12528,Virus lectins,Phage P22,155,b-helix,Salmonella phage P22,P22,2.0,,,,,,2026-01-06T19:41:38Z
498,1CN1,Concanavalin-A (Con A),P02866,Plant lectins,Canavalia ensiformis,113,b-sandwich / ConA-like,L-type (legume lectin),ConA and related,3.2,,,,,,2026-01-06T19:41:38Z
499,1CON,Concanavalin-A (Con A),P02866,Plant lectins,Canavalia ensiformis,113,b-sandwich / ConA-like,L-type (legume lectin),ConA and related,2.0,,,,,,2026-01-06T19:41:38Z
500,1CQ9,Galactose-binding lectin (Agglutinin) (PNA),P02872,Plant lectins,Arachis hypogaea,139,b-sandwich / ConA-like,L-type (legume lectin),PNA,3.5,,,,,,2026-01-06T19:41:38Z
501,1CR7,Galactose-binding lectin (Agglutinin) (PNA),P02872,Plant lectins,Arachis hypogaea,139,b-sandwich / ConA-like,L-type (legume lectin),PNA,2.6,lactose,"D-Galp, D-Glcp",Gal(b1-4)Glc,"RES
1b:x-dglc-HEX-1:5
2b:b-dgal-HEX-1:5
LIN
1:1o(4+1)2d",G74621DY,2026-01-06T19:41:38Z
502,1CRV,C-reactive protein [Cleaved into: C-reactive protein(1-205)],P02741,Animal lectins,Homo sapiens,97,b-sandwich / ConA-like,Pentraxin,C-reactive protein,0.0,,,,,,2026-01-06T19:41:38Z
503,1CT1,Cholera enterotoxin subunit B (Cholera enterotoxin B chain) (Cholera enterotoxin gamma chain) (Choleragenoid),P01556,Bacterial lectins,Vibrio cholerae,151,a/b OB-fold,Cholera toxin like AB5,"LTB, CTB, CFXB",2.3,bGal13bGalNAc14(aNeuAc23)bGal14Glc,"D-Galp, D-GalpNAc, D-Glcp, D-Neup5Ac",Gal(b1-3)GalNAc(b1-4)[NeuAc(a2-3)]Gal(b1-4)Glc,"RES
1b:x-dglc-HEX-1:5
2b:b-dgal-HEX-1:5
3b:a-dgro-dgal-NON-2:6|1:a|2:keto|3:d
4s:n-acetyl
5b:b-dgal-HEX-1:5
6s:n-acetyl
7b:b-dgal-HEX-1:5
LIN
1:1o(4+1)2d
2:2o(3+2)3d
3:3d(5+1)4n
4:2o(4+1)5d
5:5d(2+1)6n
6:5o(3+1)7d",G46613JI,2026-01-06T19:41:38Z
504,1CVN,Concanavalin-A (Con A),P02866,Plant lectins,Canavalia ensiformis,113,b-sandwich / ConA-like,L-type (legume lectin),ConA and related,2.3,aMan13(aMan16)Man,D-Manp,Man(a1-3)[Man(a1-6)]Man,"RES
1b:x-dman-HEX-1:5
2b:a-dman-HEX-1:5
3b:a-dman-HEX-1:5
LIN
1:1o(3+1)2d
2:1o(6+1)3d",G24260RG,2026-01-06T19:41:38Z
505,1D0H,Tetanus toxin (EC 3.4.24.68) (Tentoxylysin) [Cleaved into: Tetanus toxin light chain (Tetanus toxin chain L); Tetanus toxin heavy chain (Tetanus toxin chain H)],P04958,Bacterial lectins,Clostridium tetani,103,b-trefoil,Clostridial toxin,TeNT,2.1,GalNAc + SO4,D-GalpNAc,GalNAc,"RES
1b:x-dgal-HEX-1:5
2s:n-acetyl
LIN
1:1d(2+1)2n",G27025MB,2026-01-06T19:41:38Z
506,1DBN,Seed leukoagglutinin (Leukoagglutinating lectin MAL) (Seed leucoagglutinin),P0DKL3,Plant lectins,Maackia amurensis,157,b-sandwich / ConA-like,L-type (legume lectin),MAL,2.75,aNeuAc23bGal14Glc,"D-Galp, D-Glcp, D-Neup5Ac",NeuAc(a2-3)Gal(b1-4)Glc,"RES
1b:x-dglc-HEX-1:5
2b:b-dgal-HEX-1:5
3b:a-dgro-dgal-NON-2:6|1:a|2:keto|3:d
4s:n-acetyl
LIN
1:1o(4+1)2d
2:2o(3+2)3d
3:3d(5+1)4n",G56516VH,2026-01-06T19:41:38Z
507,1DFQ,Tetanus toxin (EC 3.4.24.68) (Tentoxylysin) [Cleaved into: Tetanus toxin light chain (Tetanus toxin chain L); Tetanus toxin heavy chain (Tetanus toxin chain H)],P04958,Bacterial lectins,Clostridium tetani,103,b-trefoil,Clostridial toxin,TeNT,2.6,NeuAc,D-Neup5Ac,NeuAc,"RES
1b:x-dgro-dgal-NON-2:6|1:a|2:keto|3:d
2s:n-acetyl
LIN
1:1d(5+1)2n",G81533KY,2026-01-06T19:41:38Z
508,1DGL,Lectin alpha chain [Cleaved into: Lectin beta chain; Lectin gamma chain],P08902,Plant lectins,Dioclea grandiflora,159,b-sandwich / ConA-like,L-type (legume lectin),ConA and related,2.4,aMan13(aMan16)Man,D-Manp,Man(a1-3)[Man(a1-6)]Man,"RES
1b:x-dman-HEX-1:5
2b:a-dman-HEX-1:5
3b:a-dman-HEX-1:5
LIN
1:1o(3+1)2d
2:1o(6+1)3d",G24260RG,2026-01-06T19:41:38Z
509,1DIW,Tetanus toxin (EC 3.4.24.68) (Tentoxylysin) [Cleaved into: Tetanus toxin light chain (Tetanus toxin chain L); Tetanus toxin heavy chain (Tetanus toxin chain H)],P04958,Bacterial lectins,Clostridium tetani,103,b-trefoil,Clostridial toxin,TeNT,2.0,Gal,D-Galp,Gal,"RES
1b:x-dgal-HEX-1:5",G68158BT,2026-01-06T19:41:38Z
510,1DJR,"Heat-labile enterotoxin B chain (LT-B, porcine) (LTP-B)",P32890,Bacterial lectins,Escherichia coli,131,a/b OB-fold,Cholera toxin like AB5,"LTB, CTB, CFXB",1.3,aGal-carboxyphenil,D-Galp,Gal,"RES
1b:x-dgal-HEX-1:5",G68158BT,2026-01-06T19:41:38Z
511,1DLL,Tetanus toxin (EC 3.4.24.68) (Tentoxylysin) [Cleaved into: Tetanus toxin light chain (Tetanus toxin chain L); Tetanus toxin heavy chain (Tetanus toxin chain H)],P04958,Bacterial lectins,Clostridium tetani,103,b-trefoil,Clostridial toxin,TeNT,1.8,bGal14Glc,"D-Galp, D-Glcp",Gal(b1-4)Glc,"RES
1b:x-dglc-HEX-1:5
2b:b-dgal-HEX-1:5
LIN
1:1o(4+1)2d",G74621DY,2026-01-06T19:41:38Z
512,1DLP,Lectin SCAfet (Fragment),Q9ZP48,Plant lectins,Scilla campanulata,123,b-prism II,Monocot-lectin like,SCA-FET,3.3,,,,,,2026-01-06T19:41:38Z
513,1DQ0,Concanavalin-A (Con A),P02866,Plant lectins,Canavalia ensiformis,113,b-sandwich / ConA-like,L-type (legume lectin),ConA and related,1.7,,,,,,2026-01-06T19:41:38Z
514,1DQ1,Concanavalin-A (Con A),P02866,Plant lectins,Canavalia ensiformis,113,b-sandwich / ConA-like,L-type (legume lectin),ConA and related,2.15,,,,,,2026-01-06T19:41:38Z
515,1DQ2,Concanavalin-A (Con A),P02866,Plant lectins,Canavalia ensiformis,113,b-sandwich / ConA-like,L-type (legume lectin),ConA and related,2.05,,,,,,2026-01-06T19:41:38Z
516,1DQ4,Concanavalin-A (Con A),P02866,Plant lectins,Canavalia ensiformis,113,b-sandwich / ConA-like,L-type (legume lectin),ConA and related,2.9,,,,,,2026-01-06T19:41:38Z
517,1DQ5,Concanavalin-A (Con A),P02866,Plant lectins,Canavalia ensiformis,113,b-sandwich / ConA-like,L-type (legume lectin),ConA and related,2.0,,,,,,2026-01-06T19:41:38Z
518,1DQ6,Concanavalin-A (Con A),P02866,Plant lectins,Canavalia ensiformis,113,b-sandwich / ConA-like,L-type (legume lectin),ConA and related,1.9,,,,,,2026-01-06T19:41:38Z
519,1DQC,Tachycitin,P91818,Animal lectins,Tachypleus tridentatus,164,small protein / Invertebrate chitin-binding protein,Invertebrate chitin-binding protein,tachycitin,0.0,,,,,,2026-01-06T19:41:38Z
520,1DQG,Macrophage mannose receptor 1 (MMR) (CD antigen CD206),Q61830,Animal lectins,Mus musculus,167,b-trefoil,Cys-rich man-receptor,Cys-rich domain man-receptor,1.7,,,,,,2026-01-06T19:41:38Z
521,1DQO,Macrophage mannose receptor 1 (MMR) (CD antigen CD206),Q61830,Animal lectins,Mus musculus,167,b-trefoil,Cys-rich man-receptor,Cys-rich domain man-receptor,2.2,GalNAc + 4SO4-,D-GalpNAc,GalNAc,"RES
1b:x-dgal-HEX-1:5
2s:n-acetyl
LIN
1:1d(2+1)2n",G27025MB,2026-01-06T19:41:38Z
522,1DV8,Asialoglycoprotein receptor 1 (ASGP-R 1) (ASGPR 1) (C-type lectin domain family 4 member H1) (Hepatic lectin H1) (HL-1),P07306,Animal lectins,Homo sapiens,97,a/b mixed / C-type lectin-like,C-type lectin,ASGPR1,2.3,,,,,,2026-01-06T19:41:38Z
523,1DZQ,Lectin II (Fragment),Q9FVF8,Plant lectins,Ulex europaeus,170,b-sandwich / ConA-like,L-type (legume lectin),UEA-2,2.85,Gal,D-Galp,Gal,"RES
1b:x-dgal-HEX-1:5",G68158BT,2026-01-06T19:41:38Z
524,1E9L,Chitinase-like protein 3 (EC 3.2.1.52) (Beta-N-acetylhexosaminidase Ym1) (Chitinase-3-like protein 3) (ECF-L) (Eosinophil chemotactic cytokine) (Secreted protein Ym1),O35744,Animal lectins,Mus musculus,167,a/b barrel / TIM,chi-lectin (TIM),Ym1,2.5,GlcN,D-GlcpN,GlcN,"RES
1b:x-dglc-HEX-1:5
2s:amino
LIN
1:1d(2+1)2n",G80384UV,2026-01-06T19:41:38Z
525,1EEF,"Heat-labile enterotoxin B chain (LT-B, porcine) (LTP-B)",P32890,Bacterial lectins,Escherichia coli,131,a/b OB-fold,Cholera toxin like AB5,"LTB, CTB, CFXB",1.8,aGal,D-Galp,Gal,"RES
1b:x-dgal-HEX-1:5",G68158BT,2026-01-06T19:41:38Z
526,1EEI,Cholera enterotoxin B-subunit (Cholera enterotoxin binding subunit CtxB) (Cholera enterotoxin subunit B) (Cholera toxin B protein (CTB)) (Cholera toxin B subunit) (Cholera toxin beta subunit) (Cholera toxin subunit B) (Cholerae toxin B subunit) (CtxB),Q57193,Bacterial lectins,Vibrio cholerae,151,a/b OB-fold,Cholera toxin like AB5,"LTB, CTB, CFXB",2.0,aGal-nitrophenyl,D-Galp,Gal,"RES
1b:x-dgal-HEX-1:5",G68158BT,2026-01-06T19:41:38Z
527,1EFI,"Heat-labile enterotoxin B chain (LT-B, porcine) (LTP-B)",P32890,Bacterial lectins,Escherichia coli,131,a/b OB-fold,Cholera toxin like AB5,"LTB, CTB, CFXB",1.6,aGal-nitrophenyl,D-Galp,Gal,"RES
1b:x-dgal-HEX-1:5",G68158BT,2026-01-06T19:41:38Z
528,1EGG,Macrophage mannose receptor 1 (MMR) (C-type lectin domain family 13 member D) (C-type lectin domain family 13 member D-like) (Human mannose receptor) (hMR) (Macrophage mannose receptor 1-like protein 1) (CD antigen CD206),P22897,Animal lectins,Homo sapiens,97,a/b mixed / C-type lectin-like,C-type lectin,MMR / CLEC13D,2.3,,,,,,2026-01-06T19:41:38Z
529,1EGI,Macrophage mannose receptor 1 (MMR) (C-type lectin domain family 13 member D) (C-type lectin domain family 13 member D-like) (Human mannose receptor) (hMR) (Macrophage mannose receptor 1-like protein 1) (CD antigen CD206),P22897,Animal lectins,Homo sapiens,97,a/b mixed / C-type lectin-like,C-type lectin,MMR / CLEC13D,2.3,,,,,,2026-01-06T19:41:38Z
530,1EHD,Agglutinin isolectin V (Fragment),Q9S7B3,Plant lectins,Urtica dioica,176,small protein / Knottin,hevein-like,UDA,1.5,,,,,,2026-01-06T19:41:38Z
531,1EHH,Agglutinin isolectin V (Fragment),Q9S7B3,Plant lectins,Urtica dioica,176,small protein / Knottin,hevein-like,UDA,1.9,bGlcNAc14bGlcNAc14GlcNAc,D-GlcpNAc,GlcNAc(b1-4)GlcNAc(b1-4)GlcNAc,"RES
1b:x-dglc-HEX-1:5
2s:n-acetyl
3b:b-dglc-HEX-1:5
4s:n-acetyl
5b:b-dglc-HEX-1:5
6s:n-acetyl
LIN
1:1d(2+1)2n
2:1o(4+1)3d
3:3d(2+1)4n
4:3o(4+1)5d
5:5d(2+1)6n",G81262CB,2026-01-06T19:41:38Z
532,1EIS,Agglutinin isolectin VI (Fragment),Q9SYR5,Plant lectins,Urtica dioica,176,small protein / Knottin,hevein-like,UDA,1.66,,,,,,2026-01-06T19:41:38Z
533,1EN2,Lectin/endochitinase 1 (EC 3.2.1.14) (Agglutinin) (UDA) (chia5.1.1) [Cleaved into: Lectin 1],P11218,Plant lectins,Urtica dioica,176,small protein / Knottin,hevein-like,UDA,1.4,bGlcNAc14bGlcNAc14bGlcNAc14GlcNAc,D-GlcpNAc,GlcNAc(b1-4)GlcNAc(b1-4)GlcNAc(b1-4)GlcNAc,"RES
1b:x-dglc-HEX-1:5
2s:n-acetyl
3b:b-dglc-HEX-1:5
4s:n-acetyl
5b:b-dglc-HEX-1:5
6s:n-acetyl
7b:b-dglc-HEX-1:5
8s:n-acetyl
LIN
1:1d(2+1)2n
2:1o(4+1)3d
3:3d(2+1)4n
4:3o(4+1)5d
5:5d(2+1)6n
6:5o(4+1)7d
7:7d(2+1)8n",G98511QW,2026-01-06T19:41:38Z
534,1ENM,Lectin/endochitinase 1 (EC 3.2.1.14) (Agglutinin) (UDA) (chia5.1.1) [Cleaved into: Lectin 1],P11218,Plant lectins,Urtica dioica,176,small protein / Knottin,hevein-like,UDA,1.9,bGlcNAc14bGlcNAc14GlcNAc,D-GlcpNAc,GlcNAc(b1-4)GlcNAc(b1-4)GlcNAc,"RES
1b:x-dglc-HEX-1:5
2s:n-acetyl
3b:b-dglc-HEX-1:5
4s:n-acetyl
5b:b-dglc-HEX-1:5
6s:n-acetyl
LIN
1:1d(2+1)2n
2:1o(4+1)3d
3:3d(2+1)4n
4:3o(4+1)5d
5:5d(2+1)6n",G81262CB,2026-01-06T19:41:38Z
535,1ENQ,Concanavalin-A (Con A),P02866,Plant lectins,Canavalia ensiformis,113,b-sandwich / ConA-like,L-type (legume lectin),ConA and related,2.5,,,,,,2026-01-06T19:41:38Z
536,1ENR,Concanavalin-A (Con A),P02866,Plant lectins,Canavalia ensiformis,113,b-sandwich / ConA-like,L-type (legume lectin),ConA and related,1.83,,,,,,2026-01-06T19:41:38Z
537,1ENS,Concanavalin-A (Con A),P02866,Plant lectins,Canavalia ensiformis,113,b-sandwich / ConA-like,L-type (legume lectin),ConA and related,2.8,,,,,,2026-01-06T19:41:38Z
